Season,n,away_hit,fair_p_away,gap,avg_odds,profit_raw,roi_raw,profit_fair,roi_fair
2012,338,0.248521,0.263917,-0.015396,3.910680,-46.970000,-0.138964,-23.463198,-0.069418
2013,338,0.236686,0.266428,-0.029742,3.896095,-69.710000,-0.206243,-48.708980,-0.144109
2014,338,0.236686,0.266930,-0.030243,3.879497,-68.910000,-0.203876,-48.492104,-0.143468
2015,357,0.246499,0.260911,-0.014412,3.861457,-35.870000,-0.100476,-13.669042,-0.038289
2016,357,0.190476,0.248557,-0.058081,4.057619,-92.330000,-0.258627,-75.289348,-0.210895
2017,391,0.207161,0.246244,-0.039083,4.307212,-81.820000,-0.209258,-61.618543,-0.157592
2018,408,0.247549,0.248791,-0.001242,4.450196,-41.250000,-0.101103,-18.551618,-0.045470
2019,421,0.254157,0.256438,-0.002281,4.229311,-32.060000,-0.076152,-7.164802,-0.017019
2020,324,0.287037,0.304689,-0.017652,3.630864,-22.450000,-0.069290,-3.909962,-0.012068
2021,472,0.250000,0.270985,-0.020985,3.902119,-77.360000,-0.163898,-53.844995,-0.114078
2022,489,0.261759,0.267842,-0.006084,3.885726,-48.020000,-0.098200,-21.326609,-0.043613
2023,521,0.226488,0.263374,-0.036887,3.879501,-103.280000,-0.198234,-78.847543,-0.151339
2024,522,0.300766,0.265050,0.035716,3.937222,17.780000,0.034061,48.382485,0.092687
2025,539,0.306122,0.282406,0.023716,3.732430,0.450000,0.000835,35.084548,0.065092
2026,238,0.294118,0.287915,0.006202,3.766765,-10.700000,-0.044958,7.460861,0.031348
ALL,6053,0.254089,0.266153,-0.012064,3.958442,-712.500000,-0.117710,-363.958850,-0.060129
