Season,n,hit,fair,gap,avg_odds,profit,roi,roi_fair
2012,338,0.236686,0.273916,-0.037230,3.401893,-68.100000,-0.201479,-0.138127
2013,338,0.254438,0.271872,-0.017434,3.436006,-44.110000,-0.130503,-0.063001
2014,338,0.278107,0.267230,0.010876,3.508462,-10.300000,-0.030473,0.042500
2015,357,0.210084,0.268221,-0.058137,3.510784,-98.870000,-0.276947,-0.226434
2016,357,0.302521,0.260948,0.041573,3.629244,29.150000,0.081653,0.151738
2017,391,0.242967,0.251978,-0.009011,3.790384,-41.380000,-0.105831,-0.047832
2018,408,0.210784,0.237535,-0.026750,4.050147,-67.880000,-0.166373,-0.114799
2019,421,0.225653,0.239065,-0.013412,4.004252,-39.200000,-0.093112,-0.035166
2020,324,0.240741,0.248954,-0.008214,3.849074,-33.390000,-0.103056,-0.047288
2021,472,0.273305,0.253476,0.019829,3.772479,14.600000,0.030932,0.092075
2022,489,0.247444,0.253254,-0.005810,3.769918,-36.460000,-0.074560,-0.018431
2023,521,0.291747,0.255871,0.035876,3.732591,35.750000,0.068618,0.131372
2024,522,0.249042,0.245522,0.003520,3.907011,-23.650000,-0.045307,0.008931
2025,539,0.250464,0.247295,0.003169,3.848942,-27.160000,-0.050390,0.009487
2026,238,0.222689,0.240905,-0.018215,3.920798,-37.680000,-0.158319,-0.091226
