Season,n_bets,n_wins,win_rate,avg_bet_odds,profit,roi
2012,338,174,0.514793,2.104793,3.570000,0.010562
2013,338,172,0.508876,2.137160,3.610000,0.010680
2014,338,164,0.485207,2.128787,-8.520000,-0.025207
2015,357,194,0.543417,2.053978,31.280000,0.087619
2016,357,181,0.507003,1.972073,-6.970000,-0.019524
2017,391,215,0.549872,1.965320,11.840000,0.030281
2018,408,221,0.541667,1.959681,-3.180000,-0.007794
2019,421,219,0.520190,1.986366,-8.830000,-0.020974
2020,324,153,0.472222,2.324815,2.920000,0.009012
2021,472,225,0.476695,2.106716,-19.030000,-0.040318
2022,489,240,0.490798,2.071063,-10.610000,-0.021697
2023,521,251,0.481766,2.038560,-28.780000,-0.055240
2024,522,235,0.450192,2.023544,-74.600000,-0.142912
2025,539,239,0.443414,2.121373,-77.460000,-0.143711
2026,238,115,0.483193,2.136050,-13.500000,-0.056723
ALL,6053,2998,0.495292,2.069288,-198.260000,-0.032754
