sides,edge,n_bets,n_wins,hit_rate,profit,roi,n_H,n_D,n_A,avg_odds
"H,D,A",0.000000,538,192,0.356877,-17.010000,-0.031617,314,142,82,3.089814
"H,D,A",0.020000,484,175,0.361570,-11.430000,-0.023616,299,110,75,3.050186
"H,D,A",0.030000,433,150,0.346420,-43.090000,-0.099515,283,85,65,3.008499
"H,D,A",0.050000,345,122,0.353623,-30.470000,-0.088319,247,46,52,2.931739
"H,D,A",0.080000,223,79,0.354260,-22.110000,-0.099148,178,14,31,2.847265
"H,D,A",0.100000,163,60,0.368098,-10.480000,-0.064294,139,1,23,2.810920
"H,A",0.000000,499,185,0.370741,-36.590000,-0.073327,347,0,152,2.992565
"H,A",0.020000,412,153,0.371359,-29.310000,-0.071141,304,0,108,2.930340
"H,A",0.030000,371,136,0.366577,-36.930000,-0.099542,286,0,85,2.878976
"H,A",0.050000,308,113,0.366883,-26.560000,-0.086234,248,0,60,2.832630
"H,A",0.080000,211,78,0.369668,-14.900000,-0.070616,178,0,33,2.775498
"H,A",0.100000,163,61,0.374233,-6.460000,-0.039632,139,0,24,2.808834
