sides,edge,n_bets,n_wins,hit_rate,profit,roi,n_H,n_D,n_A,avg_odds
"H,D,A",0.000000,269,77,0.286245,-49.570000,-0.184275,116,22,131,3.468848
"H,D,A",0.020000,229,66,0.288210,-38.910000,-0.169913,100,13,116,3.552183
"H,D,A",0.030000,207,57,0.275362,-43.080000,-0.208116,93,8,106,3.581304
"H,D,A",0.050000,153,39,0.254902,-39.260000,-0.256601,71,1,81,3.668889
"H,D,A",0.080000,87,21,0.241379,-15.700000,-0.180460,40,0,47,3.985402
"H,D,A",0.100000,62,17,0.274194,-4.260000,-0.068710,29,0,33,4.154355
"H,A",0.000000,262,76,0.290076,-46.680000,-0.178168,122,0,140,3.444695
"H,A",0.020000,224,66,0.294643,-34.050000,-0.152009,102,0,122,3.555491
"H,A",0.030000,204,58,0.284314,-34.930000,-0.171225,93,0,111,3.575686
"H,A",0.050000,152,39,0.256579,-38.260000,-0.251711,71,0,81,3.664605
"H,A",0.080000,87,21,0.241379,-15.700000,-0.180460,40,0,47,3.985402
"H,A",0.100000,62,17,0.274194,-4.260000,-0.068710,29,0,33,4.154355
