Season,n,acc_1x2,fav_hit,draw_rate,logloss,pick_H,pick_D,pick_A
2012,338,0.532544,0.534125,0.236686,0.997424,0.869822,0.000000,0.130178
2013,338,0.517751,0.517751,0.254438,1.000307,0.849112,0.000000,0.150888
2014,338,0.494083,0.494083,0.278107,1.021953,0.866864,0.000000,0.133136
2015,357,0.521008,0.521008,0.210084,1.003081,0.918768,0.000000,0.081232
2016,357,0.492997,0.495775,0.302521,1.026389,0.941176,0.000000,0.058824
2017,391,0.552430,0.552430,0.242967,0.976019,0.913043,0.000000,0.086957
2018,408,0.551471,0.552826,0.210784,0.961615,0.889706,0.000000,0.110294
2019,421,0.546318,0.545238,0.225653,0.999153,0.888361,0.000000,0.111639
2020,324,0.496914,0.498452,0.240741,1.026710,0.716049,0.000000,0.283951
2021,472,0.495763,0.495763,0.273305,1.027210,0.853814,0.000000,0.146186
2022,489,0.486708,0.485597,0.247444,1.022045,0.883436,0.000000,0.116564
2023,521,0.474088,0.476923,0.291747,1.028477,0.925144,0.001919,0.072937
2024,522,0.459770,0.461538,0.249042,1.028526,0.869732,0.000000,0.130268
2025,539,0.497217,0.498141,0.250464,1.023576,0.807050,0.000000,0.192950
2026,238,0.495798,0.495798,0.222689,1.004986,0.789916,0.000000,0.210084
