team,attack,defence,strength
Los Angeles FC,0.3025527938573625,0.1859458264521319,0.4884986203094944
Vancouver Whitecaps,0.32245874721787426,0.15543641913425404,0.4778951663521283
Inter Miami,0.5387750909105089,-0.19051069571923507,0.34826439519127383
San Diego FC,0.341555805963319,-0.04828803113313221,0.29326777483018684
Nashville SC,0.13110944961447488,0.12648716428969412,0.257596613904169
Seattle Sounders,0.09051949071621486,0.15212331272053456,0.24264280343674943
Columbus Crew,0.17722979723117802,-0.04421330188141943,0.1330164953497586
New York City,0.05976078252221758,0.053587207624127005,0.11334799014634458
Minnesota United,0.0866347752573647,0.020132680129372086,0.10676745538673678
FC Dallas,0.17721665876546155,-0.07670613063506568,0.10051052813039588
Philadelphia Union,0.12257570451543694,-0.022913584439101232,0.09966212007633571
San Jose Earthquakes,0.2402533498158332,-0.1623845642186418,0.0778687855971914
Real Salt Lake,0.07550330494205904,-0.017323425384537853,0.058179879557521186
FC Cincinnati,0.21887995693296808,-0.1891984181763287,0.02968153875663937
Portland Timbers,0.1549949350571339,-0.13457434362146442,0.02042059143566949
Charlotte,0.02189603952029372,-0.010257655720616956,0.011638383799676764
Chivas USA,-3.0,3.0,0.0
Chicago Fire,0.1673013892711667,-0.17695912274553519,-0.00965773347436849
Los Angeles Galaxy,0.18080186888154942,-0.2036492821995459,-0.022847413317996473
Houston Dynamo,-0.0227882397042054,-0.03135389558566565,-0.05414213528987105
New York Red Bulls,0.04221308521812268,-0.12773423293003203,-0.08552114771190936
Orlando City,0.17243017514743086,-0.2836236831520844,-0.11119350800465355
Colorado Rapids,0.06450935779497612,-0.18339853301049075,-0.11888917521551463
St. Louis City,0.03017197423273661,-0.16415249886788094,-0.13398052463514434
New England Revolution,-0.024654516150441255,-0.14957685297717466,-0.17423136912761591
Austin FC,-0.09962248717449161,-0.1564117618430646,-0.2560342490175562
Atlanta Utd,-0.13493829966928741,-0.16601775484136638,-0.30095605451065377
Toronto FC,-0.17355158463823622,-0.1717251978265831,-0.3452767824648193
CF Montreal,-0.09888776769206829,-0.29036470656642965,-0.38925247425849796
Sporting Kansas City,-0.022578248444273842,-0.3883940428970035,-0.4109722913412774
DC United,-0.14232338991267937,-0.30398089397771366,-0.446304283890393
