team_id,team,elo
12,Inter Miami,1690.9057182680385
30,Vancouver Whitecaps,1616.9755357143401
13,Los Angeles FC,1612.9841709989414
16,Nashville SC,1605.5848935598256
9,FC Cincinnati,1583.1638323795219
18,New York City,1564.123117051686
26,Seattle Sounders,1562.388102436582
10,FC Dallas,1530.864204325004
4,Chicago Fire,1528.537313900228
15,Minnesota United,1527.221799729927
23,Real Salt Lake,1518.6183609066252
3,Charlotte,1510.788549635144
20,Orlando City,1510.4202881048666
24,San Diego FC,1508.9832706509137
25,San Jose Earthquakes,1507.4412313097744
11,Houston Dynamo,1503.6597833240298
7,Columbus Crew,1495.67241462108
19,New York Red Bulls,1488.6106514464361
22,Portland Timbers,1481.1024163083282
21,Philadelphia Union,1478.160520247199
28,St. Louis City,1472.773120225432
14,Los Angeles Galaxy,1464.700638774443
17,New England Revolution,1455.1242813363779
1,Austin FC,1451.4563731072105
6,Colorado Rapids,1448.3872805167014
8,DC United,1424.6416388635107
29,Toronto FC,1416.8031616727326
2,CF Montreal,1401.1719823818567
0,Atlanta Utd,1389.7627650708785
5,Chivas USA,1377.5779560513452
27,Sporting Kansas City,1371.3946270810213
