Season,n_bets,n_wins,win_rate,avg_bet_odds,profit,fav_win_rate,avg_p_fav_fair,avg_fav_odds,avg_dc_odds,roi
2012,337,180,0.534125,2.008190,10.950000,0.534125,0.475011,2.008190,1.817366,0.032493
2013,338,175,0.517751,1.986598,-1.920000,0.517751,0.480175,1.986598,1.837196,-0.005680
2014,338,167,0.494083,1.973402,-16.200000,0.494083,0.484283,1.973402,1.857543,-0.047929
2015,357,186,0.521008,2.007619,3.470000,0.521008,0.477040,2.007619,1.832553,0.009720
2016,355,176,0.495775,1.945380,-20.810000,0.495775,0.494397,1.945380,1.907098,-0.058620
2017,391,216,0.552430,1.904399,6.500000,0.552430,0.509994,1.904399,2.005737,0.016624
2018,407,225,0.552826,1.852875,-8.880000,0.552826,0.528260,1.852875,2.115290,-0.021818
2019,420,229,0.545238,1.865119,-0.310000,0.545238,0.521071,1.865119,2.061355,-0.000738
2020,323,161,0.498452,1.988545,-13.020000,0.498452,0.489557,1.988545,1.929073,-0.040310
2021,472,234,0.495763,1.968665,-22.440000,0.495763,0.493827,1.968665,1.930976,-0.047542
2022,486,236,0.485597,1.968272,-38.630000,0.485597,0.493066,1.968272,1.921193,-0.079486
2023,520,248,0.476923,1.982654,-47.880000,0.476923,0.488457,1.982654,1.898943,-0.092077
2024,520,240,0.461538,1.945673,-73.290000,0.461538,0.500540,1.945673,1.961358,-0.140942
2025,538,268,0.498141,1.976710,-23.580000,0.498141,0.490379,1.976710,1.910950,-0.043829
2026,238,118,0.495798,1.909748,-23.480000,0.495798,0.502083,1.909748,1.954259,-0.098655
ALL,6040,3059,0.506457,1.952561,-269.520000,0.506457,0.495626,1.952561,1.932487,-0.044623
