season,edge,n_bets,hit_rate,profit,roi
2013,0.000000,288,0.500000,-0.100000,-0.000347
2013,0.030000,230,0.491304,-4.950000,-0.021522
2013,0.050000,191,0.492147,-4.960000,-0.025969
2013,0.080000,109,0.449541,-11.640000,-0.106789
2014,0.000000,251,0.454183,-12.400000,-0.049402
2014,0.030000,199,0.432161,-15.940000,-0.080101
2014,0.050000,163,0.398773,-21.110000,-0.129509
2014,0.080000,110,0.400000,-11.570000,-0.105182
2015,0.000000,242,0.491736,10.710000,0.044256
2015,0.030000,188,0.494681,15.410000,0.081968
2015,0.050000,140,0.450000,-0.030000,-0.000214
2015,0.080000,92,0.413043,-4.310000,-0.046848
2016,0.000000,229,0.480349,1.930000,0.008428
2016,0.030000,172,0.441860,-6.470000,-0.037616
2016,0.050000,125,0.472000,7.090000,0.056720
2016,0.080000,66,0.469697,7.380000,0.111818
2017,0.000000,218,0.444954,-5.160000,-0.023670
2017,0.030000,155,0.458065,7.830000,0.050516
2017,0.050000,125,0.440000,5.980000,0.047840
2017,0.080000,71,0.394366,0.210000,0.002958
2018,0.000000,226,0.433628,-12.740000,-0.056372
2018,0.030000,156,0.429487,1.940000,0.012436
2018,0.050000,117,0.401709,-1.210000,-0.010342
2018,0.080000,78,0.320513,-10.380000,-0.133077
2019,0.000000,240,0.512500,16.050000,0.066875
2019,0.030000,190,0.484211,10.420000,0.054842
2019,0.050000,143,0.433566,-1.280000,-0.008951
2019,0.080000,98,0.357143,-14.350000,-0.146429
2020,0.000000,257,0.439689,8.420000,0.032763
2020,0.030000,223,0.430493,11.320000,0.050762
2020,0.050000,207,0.420290,11.220000,0.054203
2020,0.080000,170,0.394118,7.590000,0.044647
2021,0.000000,332,0.451807,-3.400000,-0.010241
2021,0.030000,255,0.443137,2.820000,0.011059
2021,0.050000,204,0.441176,8.440000,0.041373
2021,0.080000,135,0.444444,14.820000,0.109778
2022,0.000000,327,0.415902,-27.000000,-0.082569
2022,0.030000,256,0.406250,-16.000000,-0.062500
2022,0.050000,204,0.406863,-6.030000,-0.029559
2022,0.080000,136,0.382353,-5.630000,-0.041397
2023,0.000000,320,0.431250,-18.020000,-0.056313
2023,0.030000,255,0.427451,-8.090000,-0.031725
2023,0.050000,206,0.402913,-13.940000,-0.067670
2023,0.080000,139,0.410072,-0.640000,-0.004604
2024,0.000000,317,0.391167,-52.590000,-0.165899
2024,0.030000,227,0.334802,-53.490000,-0.235639
2024,0.050000,174,0.333333,-36.130000,-0.207644
2024,0.080000,102,0.313725,-18.680000,-0.183137
2025,0.000000,361,0.385042,-64.820000,-0.179557
2025,0.030000,275,0.363636,-53.280000,-0.193745
2025,0.050000,216,0.342593,-46.710000,-0.216250
2025,0.080000,136,0.235294,-55.690000,-0.409485
2026,0.000000,156,0.397436,-16.960000,-0.108718
2026,0.030000,112,0.339286,-20.360000,-0.181786
2026,0.050000,96,0.333333,-18.190000,-0.189479
2026,0.080000,62,0.370968,-3.000000,-0.048387
