model,filter,edge,n_bets,n_wins,hit_rate,avg_odds,profit,roi
logistic,all,0.000000,259,83,0.320463,2.533012,-62.930000,-0.242973
logistic,all,0.020000,217,68,0.313364,2.623134,-51.400000,-0.236866
logistic,all,0.030000,204,61,0.299020,2.646961,-54.200000,-0.265686
logistic,all,0.050000,172,46,0.267442,2.725988,-54.920000,-0.319302
logistic,all,0.080000,113,27,0.238938,2.893717,-40.140000,-0.355221
logistic,all,0.100000,84,19,0.226190,3.005119,-31.830000,-0.378929
logistic,home_dog,0.000000,104,22,0.211538,3.001923,-41.280000,-0.396923
logistic,home_dog,0.020000,104,22,0.211538,3.001923,-41.280000,-0.396923
logistic,home_dog,0.030000,102,21,0.205882,3.010490,-41.930000,-0.411078
logistic,home_dog,0.050000,99,21,0.212121,3.019192,-38.930000,-0.393232
logistic,home_dog,0.080000,84,16,0.190476,3.067143,-37.480000,-0.446190
logistic,home_dog,0.100000,69,11,0.159420,3.131014,-36.170000,-0.524203
logistic,home_fav,0.000000,155,61,0.393548,2.218387,-21.650000,-0.139677
logistic,home_fav,0.020000,113,46,0.407080,2.274513,-10.120000,-0.089558
logistic,home_fav,0.030000,102,40,0.392157,2.283431,-12.270000,-0.120294
logistic,home_fav,0.050000,73,25,0.342466,2.328356,-15.990000,-0.219041
logistic,home_fav,0.080000,29,11,0.379310,2.391379,-2.660000,-0.091724
logistic,home_fav,0.100000,15,8,0.533333,2.426000,4.340000,0.289333
elo,all,0.000000,361,139,0.385042,2.318615,-64.820000,-0.179557
elo,all,0.020000,298,113,0.379195,2.397450,-51.030000,-0.171242
elo,all,0.030000,275,100,0.363636,2.433418,-53.280000,-0.193745
elo,all,0.050000,216,74,0.342593,2.520324,-46.710000,-0.216250
elo,all,0.080000,136,32,0.235294,2.679926,-55.690000,-0.409485
elo,all,0.100000,88,18,0.204545,2.826591,-40.260000,-0.457500
elo,home_dog,0.000000,102,22,0.215686,3.008725,-39.280000,-0.385098
elo,home_dog,0.020000,100,22,0.220000,3.012100,-37.280000,-0.372800
elo,home_dog,0.030000,97,20,0.206186,3.022268,-39.670000,-0.408969
elo,home_dog,0.050000,93,20,0.215054,3.025161,-35.670000,-0.383548
elo,home_dog,0.080000,73,15,0.205479,3.087260,-30.210000,-0.413836
elo,home_dog,0.100000,58,11,0.189655,3.118793,-26.020000,-0.448621
elo,home_fav,0.000000,259,117,0.451737,2.046834,-25.540000,-0.098610
elo,home_fav,0.020000,198,91,0.459596,2.087020,-13.750000,-0.069444
elo,home_fav,0.030000,178,80,0.449438,2.112528,-13.610000,-0.076461
elo,home_fav,0.050000,123,54,0.439024,2.138618,-11.040000,-0.089756
elo,home_fav,0.080000,63,17,0.269841,2.207937,-25.480000,-0.404444
elo,home_fav,0.100000,30,7,0.233333,2.261667,-14.240000,-0.474667
