team_id,team,elo
12,Inter Miami,1730.0874920320987
30,Vancouver Whitecaps,1647.8073382928512
16,Nashville SC,1647.4592640930973
13,Los Angeles FC,1619.9004516551695
9,FC Cincinnati,1588.8858128877125
18,New York City,1572.2342644223472
10,FC Dallas,1558.1019964240356
26,Seattle Sounders,1550.9902328596324
4,Chicago Fire,1547.2248164179728
25,San Jose Earthquakes,1536.8567398756488
23,Real Salt Lake,1525.1978884919927
15,Minnesota United,1514.724330106776
11,Houston Dynamo,1511.9917597439294
28,St. Louis City,1501.1243207007988
20,Orlando City,1497.6134791097427
3,Charlotte,1495.6241823432945
24,San Diego FC,1483.136158983882
22,Portland Timbers,1478.7612059821965
19,New York Red Bulls,1478.0731759857265
17,New England Revolution,1458.6269607189429
7,Columbus Crew,1454.5572395507907
21,Philadelphia Union,1450.7918981605685
14,Los Angeles Galaxy,1449.1097577123107
6,Colorado Rapids,1442.957646315734
1,Austin FC,1439.432925492364
8,DC United,1430.6387972341304
29,Toronto FC,1418.520689208097
2,CF Montreal,1380.8799536766214
5,Chivas USA,1370.073195292407
27,Sporting Kansas City,1359.8923478538616
0,Atlanta Utd,1358.7236783752678
