Season,n_bets,n_wins,win_rate,avg_bet_odds,avg_p_home_fair,profit,roi,gap
2012,44,12,0.272727,3.044545,0.308807,-9.670000,-0.219773,-0.036080
2013,51,15,0.294118,3.246078,0.297271,-6.900000,-0.135294,-0.003153
2014,45,14,0.311111,3.382667,0.291635,-1.610000,-0.035778,0.019476
2015,29,16,0.551724,2.943103,0.321558,17.260000,0.595172,0.230166
2016,21,10,0.476190,2.820952,0.333671,7.180000,0.341905,0.142519
2017,34,11,0.323529,3.009706,0.316501,-1.280000,-0.037647,0.007028
2018,45,16,0.355556,3.146667,0.307527,3.950000,0.087778,0.048029
2019,47,12,0.255319,3.211489,0.301622,-8.030000,-0.170851,-0.046303
2020,92,31,0.336957,3.330652,0.295777,7.560000,0.082174,0.041180
2021,69,22,0.318841,3.173623,0.304838,2.060000,0.029855,0.014002
2022,57,24,0.421053,3.097018,0.309732,16.820000,0.295088,0.111321
2023,38,16,0.421053,3.025526,0.316516,11.150000,0.293421,0.104537
2024,68,23,0.338235,2.904853,0.327837,-2.000000,-0.029412,0.010398
2025,104,22,0.211538,3.001923,0.317229,-41.280000,-0.396923,-0.105691
2026,50,18,0.360000,3.182600,0.301289,2.580000,0.051600,0.058711
ALL,794,262,0.329975,3.119584,0.308888,-2.210000,-0.002783,0.021087
