Season,n_bets,n_wins,win_rate,avg_bet_odds,avg_p_home_fair,profit,roi,gap
2012,44,12,0.272727,3.284395,0.308807,-6.823784,-0.155086,-0.036080
2013,51,15,0.294118,3.498724,0.297271,-3.464486,-0.067931,-0.003153
2014,45,14,0.311111,3.638186,0.291635,1.662403,0.036942,0.019476
2015,29,16,0.551724,3.145785,0.321558,20.478973,0.706171,0.230166
2016,21,10,0.476190,3.005872,0.333671,9.018412,0.429448,0.142519
2017,34,11,0.323529,3.207218,0.316501,0.880562,0.025899,0.007028
2018,45,16,0.355556,3.339254,0.307527,6.930967,0.154021,0.048029
2019,47,12,0.255319,3.417233,0.301622,-5.531251,-0.117686,-0.046303
2020,92,31,0.336957,3.552047,0.295777,15.050487,0.163592,0.041180
2021,69,22,0.318841,3.362804,0.304838,6.258312,0.090700,0.014002
2022,57,24,0.421053,3.285330,0.309732,21.309575,0.373852,0.111321
2023,38,16,0.421053,3.203674,0.316516,14.048978,0.369710,0.104537
2024,68,23,0.338235,3.070750,0.327837,1.816837,0.026718,0.010398
2025,104,22,0.211538,3.201415,0.317229,-37.086830,-0.356604,-0.105691
2026,50,18,0.360000,3.435924,0.301289,6.782357,0.135647,0.058711
ALL,794,262,0.329975,3.327858,0.308888,51.331512,0.064649,0.021087
