Season,n_bets,n_wins,win_rate,avg_bet_odds,profit,fav_win_rate,avg_p_fav_fair,avg_fav_odds,avg_dc_odds,roi
2012,337,157,0.465875,1.817366,-63.120869,0.534125,0.475011,2.008190,1.817366,-0.187302
2013,338,163,0.482249,1.837196,-50.146914,0.517751,0.480175,1.986598,1.837196,-0.148364
2014,338,171,0.505917,1.857543,-31.091926,0.494083,0.484283,1.973402,1.857543,-0.091988
2015,357,171,0.478992,1.832553,-55.196877,0.521008,0.477040,2.007619,1.832553,-0.154613
2016,355,179,0.504225,1.907098,-22.207628,0.495775,0.494397,1.945380,1.907098,-0.062557
2017,391,175,0.447570,2.005737,-58.776270,0.552430,0.509994,1.904399,2.005737,-0.150323
2018,407,182,0.447174,2.115290,-50.668324,0.552826,0.528260,1.852875,2.115290,-0.124492
2019,420,191,0.454762,2.061355,-36.627629,0.545238,0.521071,1.865119,2.061355,-0.087209
2020,323,162,0.501548,1.929073,-24.213760,0.498452,0.489557,1.988545,1.929073,-0.074965
2021,472,238,0.504237,1.930976,-22.273403,0.495763,0.493827,1.968665,1.930976,-0.047189
2022,486,250,0.514403,1.921193,-25.601972,0.485597,0.493066,1.968272,1.921193,-0.052679
2023,520,272,0.523077,1.898943,-26.109244,0.476923,0.488457,1.982654,1.898943,-0.050210
2024,520,280,0.538462,1.961358,2.639290,0.461538,0.500540,1.945673,1.961358,0.005076
2025,538,270,0.501859,1.910950,-40.538274,0.498141,0.490379,1.976710,1.910950,-0.075350
2026,238,120,0.504202,1.954259,-19.169531,0.495798,0.502083,1.909748,1.954259,-0.080544
ALL,6040,2981,0.493543,1.932487,-523.103331,0.506457,0.495626,1.952561,1.932487,-0.086607
